Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Name of Facility,Street Address,Total Fires
2017,222178,Abilene Christian University,1,ACU-Abilene,5145,University Park Bldg 2,2150 N. Judge Ely Blvd.,0
2017,138558,Abraham Baldwin Agricultural College,1,ABAC main campus,3394,ABAC Place,100Faculty Dr,0
2017,138558,Abraham Baldwin Agricultural College,1,ABAC main campus,3394,ABAC Lakeside,180 Farm Lane,0
2018,177834,A T Still University of Health Sciences,1,Missouri Campus,3717,Student Housing A,200 S. Osteopathy,0
2018,177834,A T Still University of Health Sciences,1,Missouri Campus,3717,Student Housing B,200 S. Osteopathy,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Barret Hall,1818 Campus Court,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Dillard Hall,633 EN 19th,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Edwards Hall,1995 Campus Court,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Gardner Hall,930 EN 16th,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Mabee Hall,1885 Campus Court,1
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,McDonald Hall,790 EN 16th,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,McKinzie Hall,1750 Campus Center Rd.,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Morris Hall,2070 ACU Drive-North,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Nelson Hall,860 EN 16th,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Sikes Hall,990 EN 16th,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Smith-Adams Hall,1402 Cedar Crest Dr.,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,University Park Bldg 2,2150 N. Judge Ely Blvd.,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,University Park Bldg 3,2150 N. Judge Ely Blvd.,1
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,University Park Bldg 4,2150 N. Judge Ely Blvd.,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,University Park Bldg 5,2150 N. Judge Ely Blvd.,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,University Park Bldg 6,2150 N. Judge Ely Blvd.,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,University Park Bldg 7,2150 N. Judge Ely Blvd.,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,University Park Bldg 8,2150 N. Judge Ely Blvd.,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,University Park Bldg 9,2150 N. Judge Ely Blvd.,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,University Park Bldg 10,2150 N. Judge Ely Blvd,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 2118 Campus Court,2118 Campus Court,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 2226 Campus Court,2226 Campus Court,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 2310 Campus Court,2310 Campus Court,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 2318 Campus Court,2318 Campus Court,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 2326 Campus Court,2326 Campus Court,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 1602 Cedar Crest,1602 Cedar Crest Dr.,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 2033 Cedar Crest,2033 Cedar Crest Dr.,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 420 College Dr.,420 College Dr.,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 684 College Dr.,684 College Dr.,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 689 College Dr.,689 College Dr.,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 691 College Dr.,691 College Dr.,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 695 College Dr.,695 College Dr.,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 798 EN 10th,798 EN 10th,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 733 EN 11th,733 EN 11th,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 834 EN 13th,834 EN 13th,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 849 EN 13th,849 EN 13th,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 834 EN 15th,834 EN 15th,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 848 EN 15th,848 EN 15th,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 858 EN 15th,858 EN 15th,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 502 EN 16th,502 EN 16th,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 642 EN 16th,642 EN 16th,0
